message_id,cluster
1756099051125311,1
1862898215321875,0
1268299670367831,1
1756099051125290,2
1756099051125337,0
183422978270585,1
1268299670367824,4
1557320967115214,1
192723019365664,0
1756099051125312,4
1756099051125307,4
183422978270561,4
1756099051125336,0
1862898215321882,1
1756099051125341,0
1756099051125317,0
1268299670367827,0
1756099051125276,2
1268299670367825,4
192723019365646,1
1862898215321885,1
1756099051125340,1
192723019365647,2
1756099051125309,0
1756099051125331,4
183422978270570,1
1756099051125308,2
1862898215321878,0
1557320967115237,0
1756099051125315,3
183422978270581,0
1557320967115235,1
183422978270563,1
1756099051125289,2
1862898215321881,4
1557320967115229,4
1756099051125329,0
192723019365644,3
20894251205075,4
20894251205126,4
20894251205150,1
185417972649061,0
19207670208854,2
20894251205128,0
153742584826908,1
20894251205115,2
1557320967119839,3
19207670208884,1
20894251205124,1
192723019368209,1
153742584826893,0
20894251205110,2
20894251205102,1
153742584826887,3
20894251205092,1
183422978274147,3
20894251205121,1
20894251205083,1
1557320967119844,1
20894251205118,0
20894251205091,0
192723019368205,4
183422978274149,0
20894251205147,0
1268299670370209,2
20894251205077,4
19207670208866,3
19207670208895,0
1862898215324770,0
153742584826889,1
20894251205125,4
1862898215324767,3
19207670208873,3
153742584826901,1
192723019368208,4
20894251205136,1
20894251205082,2
19207670208883,4
185417972649062,1
183422978274154,0
183422978274155,4
153742584826881,0
20894251205103,4
20894251205093,0
20894251205084,1
192723019368211,0
192723019368358,1
1268299670370277,1
1557320967119916,1
1268299670370266,1
192723019368382,1
1862898215324792,0
192723019368372,1
1268299670370261,1
19207670208956,2
19207670208967,1
192723019368359,1
19207670208948,1
19207670208958,3
192723019368392,1
1557320967119918,1
1862898215324790,2
192723019368369,4
192723019368350,4
185417972649069,0
1557320967119904,1
192723019368364,1
19207670208946,1
1268299670370258,4
19207670208957,1
1557320967119926,1
1268299670370280,1
1557320967119908,2
192723019368353,4
19207670208964,4
20894251205243,2
1268299670370264,4
1557320967119922,4
19207670208955,1
192723019368394,1
1268299670370270,1
1268299670370268,0
20894251205883,1
20894251205897,4
20894251205968,2
20894251205949,0
20894251205980,0
1557320967120037,2
20894251205935,4
20894251205917,4
183422978274189,2
20894251205976,0
20894251205873,0
1862898215324814,1
20894251205982,1
20894251205898,1
1862898215324819,1
1862898215324817,1
153742584826985,1
1268299670370344,1
20894251205930,1
1268299670370340,1
20894251205884,1
20894251205965,1
1557320967120035,2
20894251205878,0
20894251205922,2
20894251205994,2
20894251205907,0
20894251205941,0
20894251205915,0
20894251205938,0
20894251205882,4
1862898215324821,0
1862898215324818,0
20894251205955,2
20894251205947,0
20894251205963,0
20894251205908,0
20894251205902,2
20894251205967,1
183422978274267,2
1557320967120203,2
183422978274278,1
1268299670370641,1
185417972649090,0
1557320967120176,2
1557320967120183,1
1557320967120185,2
20894251206199,0
1268299670370658,1
1268299670370593,1
1557320967120170,1
1557320967120209,1
20894251206229,4
1557320967120131,4
1557320967120205,1
1557320967120167,2
1268299670370598,1
1557320967120158,0
153742584827039,1
20894251206256,1
20894251206220,4
20894251206246,1
153742584827048,1
1557320967120129,3
1268299670370562,4
1268299670370554,1
20894251206221,1
20894251206216,0
20894251206230,2
19207670209150,2
1268299670370580,1
1268299670370654,1
1557320967120174,4
20894251206213,3
19207670209146,2
183422978274275,2
1862898215324849,0
1557320967120126,1
1557320967120141,0
1557320967120189,0
1268299670370548,1
1557320967120160,3
1557320967120168,4
1268299670370600,4
20894251206258,1
183422978274283,0
1557320967120194,2
1268299670370671,1
1557320967120137,4
1268299670370584,1
183422978274291,0
153742584827042,4
183422978274280,2
1268299670370677,1
20894251206248,0
1268299670370591,1
1268299670370583,2
1268299670370648,1
1557320967120192,0
1268299670370656,1
20894251206250,1
153742584827029,1
1268299670370616,1
153742584827043,4
1557320967120161,3
20894251206252,1
20894251206259,1
153742584827040,0
153742584827030,2
1557320967120180,0
1268299670370564,1
1268299670370586,1
20894251206251,1
1268299670370546,1
1268299670370649,1
183422978274287,2
1268299670370557,1
1557320967120196,4
1557320967120202,1
1268299670370605,0
20894251206222,0
183422978274429,0
192723019368608,2
20894251206607,4
20894251206620,1
192723019368583,1
1268299670370779,0
192723019368600,4
192723019368604,1
1862898215325166,0
192723019368610,1
153742584827200,2
20894251206604,1
20894251206619,1
192723019368587,2
192723019368588,2
192723019368598,4
192723019368611,1
20894251206574,0
192723019368596,2
20894251206602,4
20894251206590,0
1862898215325167,1
1862898215325176,1
20894251206616,2
20894251206595,4
1862898215325163,1
1862898215325143,2
192723019368595,0
20894251206585,1
1862898215325162,0
192723019368589,0
20894251206580,0
192723019368618,1
192723019368609,3
1862898215325171,0
19207670209245,1
153742584827201,4
183422978274432,1
192723019368584,1
20894251206573,0
1862898215325146,1
1862898215325137,1
20894251206576,4
1862898215325134,2
183422978274430,1
1268299670370786,4
1862898215325140,4
1862898215325172,4
20894251204833,1
192723019368174,0
183422978274102,1
183422978274120,4
19207670208779,1
20894251204617,0
183422978274130,4
20894251204846,2
20894251204651,1
19207670208795,1
1268299670370187,0
153742584826831,1
153742584826840,0
19207670208796,0
183422978274111,1
20894251204636,2
20894251204819,1
20894251204656,4
20894251204812,0
1862898215324699,0
20894251204608,1
183422978274125,0
19207670208784,0
19207670208792,1
20894251204716,4
1862898215324711,0
20894251204762,0
20894251204710,4
20894251204620,4
1862898215324698,1
20894251204678,0
20894251204697,1
20894251204747,0
183422978274112,1
20894251204621,4
20894251204691,1
20894251204731,0
1268299670370182,2
20894251204842,1
20894251204839,0
20894251204845,0
20894251204603,1
20894251204684,4
1268299670370189,1
20894251204695,0
20894251204604,0
153742584826834,2
20894251204816,1
20894251204789,4
20894251204832,0
20894251204848,0
20894251204612,0
20894251204698,1
20894251204757,2
183422978274094,4
1268299670370172,0
20894251204650,0
20894251204696,2
20894251204600,2
20894251204642,1
20894251204671,2
1268299670370181,0
20894251204766,0
20894251204784,2
20894251204596,4
19207670208775,0
183422978274131,1
20894251204836,0
20894251204627,0
20894251204644,4
19207670208771,0
1268299670370184,0
20894251204788,2
20894251204687,0
20894251204783,0
20894251204844,4
19207670208807,4
20894251204668,4
1268299670370191,0
20894251204657,2
153742584826841,1
20894251204847,1
20894251204598,2
20894251204624,0
20894251204654,2
183422978274132,1
20894251204856,0
20894251204674,1
1862898215324714,3
1268299670370185,0
20894251204861,0
183422978274101,1
20894251204632,0
1862898215324712,0
20894251204685,2
20894251204767,4
20894251204801,0
20894251204863,0
20894251204634,1
19207670208781,1
20894251204705,0
1862898215324774,1
192723019368221,1
192723019368219,0
192723019368247,2
1268299670370229,4
1268299670370225,1
192723019368224,2
153742584826916,1
1268299670370220,1
20894251205162,1
192723019368265,4
192723019368237,0
192723019368252,1
192723019368263,0
1862898215324771,0
192723019368212,4
192723019368215,2
153742584826921,4
192723019368269,1
20894251205157,0
192723019368217,1
192723019368255,0
192723019368266,2
192723019368243,0
192723019368270,0
1862898215324779,0
1268299670370228,4
192723019368233,4
192723019368222,1
192723019368228,4
192723019368244,0
20894251205168,1
1557320967119951,0
20894251205294,2
20894251205327,0
