,symbol,price,timestamp
45999,BTCUSDT,38389.33,2023-12-01 13:20:50.971081+00:00
46000,BTCUSDT,38367.14,2023-12-01 13:20:04.772462+00:00
46001,BTCUSDT,38379.29,2023-12-01 13:20:20.351577+00:00
46002,LTCUSDT,71.25,2023-12-01 13:20:25.651950+00:00
46003,LTCUSDT,71.25,2023-12-01 13:20:56.607121+00:00
46004,DOGEUSDT,0.08328,2023-12-01 13:20:03.204011+00:00
46005,LTCUSDT,71.28,2023-12-01 13:20:10.131016+00:00
46006,ETHUSDT,2088.89,2023-12-01 13:20:17.272072+00:00
46007,DOGEUSDT,0.08326,2023-12-01 13:20:33.731407+00:00
46008,BTCUSDT,38373.54,2023-12-01 13:20:35.550281+00:00
46009,LTCUSDT,71.24,2023-12-01 13:20:40.498193+00:00
46010,DOGEUSDT,0.0833,2023-12-01 13:20:49.016795+00:00
46011,ETHUSDT,2089.45,2023-12-01 13:21:19.376814+00:00
46012,LTCUSDT,71.26,2023-12-01 13:21:27.152566+00:00
46013,DOGEUSDT,0.08333,2023-12-01 13:21:34.753527+00:00
46014,ETHUSDT,2089.99,2023-12-01 13:21:50.371456+00:00
46015,LTCUSDT,71.27,2023-12-01 13:21:57.818334+00:00
46016,ETHUSDT,2089.33,2023-12-01 13:21:04.235218+00:00
46017,DOGEUSDT,0.0833,2023-12-01 13:21:04.235161+00:00
46018,LTCUSDT,71.25,2023-12-01 13:21:11.866514+00:00
46019,BTCUSDT,38392.31,2023-12-01 13:21:21.124324+00:00
46020,ETHUSDT,2090.0,2023-12-01 13:21:34.753450+00:00
46021,LTCUSDT,71.27,2023-12-01 13:21:42.538214+00:00
46022,BTCUSDT,38399.06,2023-12-01 13:21:51.598518+00:00
46023,BTCUSDT,38389.45,2023-12-01 13:21:06.227590+00:00
46024,DOGEUSDT,0.08333,2023-12-01 13:21:19.552104+00:00
46025,BTCUSDT,38399.05,2023-12-01 13:21:36.820500+00:00
46026,DOGEUSDT,0.08334,2023-12-01 13:21:50.371440+00:00
46027,DOGEUSDT,0.08332,2023-12-01 13:22:05.657802+00:00
46028,LTCUSDT,71.29,2023-12-01 13:22:12.821324+00:00
46029,DOGEUSDT,0.08332,2023-12-01 13:22:20.994858+00:00
46030,BTCUSDT,38405.19,2023-12-01 13:22:52.768941+00:00
46031,BTCUSDT,38399.07,2023-12-01 13:22:07.253902+00:00
46032,DOGEUSDT,0.08331,2023-12-01 13:22:36.755029+00:00
46033,BTCUSDT,38405.19,2023-12-01 13:22:37.487072+00:00
46034,DOGEUSDT,0.08332,2023-12-01 13:22:52.028343+00:00
46035,LTCUSDT,71.3,2023-12-01 13:22:58.917546+00:00
46036,ETHUSDT,2089.55,2023-12-01 13:22:05.657844+00:00
46037,ETHUSDT,2089.56,2023-12-01 13:22:20.684510+00:00
